	lSF	lFP	lRMF	lCMF	lPOB	lLOF	lPT	lPOP	lMOF	lRAC	lCAC	lINS	lPRC	lPOC	lSUPRA	lSP	lIP	lPARA	lPCG	rIST	lPREC	lCUN	lPERI	lLIN	lLO	lTRANS	lBKS	lST	lMT	lIT	lTP	lENT	lPHIP	lFUS	rSF	rFP	rCAC	rCMF	rPOB	rLOF	rPT	rPOP	rMOF	rRMF	rRAC	rINS	rPRC	rPOC	rSUPRA	rSP	rIP	rPARAC	rPCG	lIST	rPREC	rCUN	rPERI	rLIN	rLO	rTRANS	rBKS	rST	rMT	rIT	rTP	rENT	rPHIP	rFUS
'fs_36'	-0.003072	-0.000003	-0.001249	-0.000741	-0.003268	0.000214	0.000039	0.003940	-0.003066	0.010208	0.000164	0.000923	0.009793	0.001142	0.001099	-0.000634	0.000095	0.011974	-0.000940	0.000744	-0.003796	0.009456	-0.001482	-0.000745	-0.009476	-0.000615	-0.000057	0.000536	-0.000440	0.000427	-0.000633	0.003126	-0.016283	-0.000890	0.005263	-0.000337	0.000585	-0.022783	-0.004473	-0.005393	0.001172	-0.000031	0.003071	0.000909	0.000031	0.000157	-0.002509	-0.007352	0.012189	0.003143	0.006091	-0.002820	-0.002023	-0.002482	0.000117	-0.002195	-0.005444	-0.000267	-0.000784	-0.001789	0.000283	-0.004405	-0.001011	-0.000092	-0.000890	0.000853	0.001367	0.003129
'fs_37'	0.003338	-0.003880	-0.001075	-0.004090	-0.001882	-0.003769	0.004500	0.002963	0.000569	0.008943	-0.000156	-0.000470	0.001021	-0.001572	0.001979	-0.000314	-0.001397	-0.007776	-0.000424	-0.000621	0.013062	-0.013073	-0.001762	0.003044	-0.012156	-0.001004	-0.002539	0.000512	-0.000366	0.003081	0.001208	0.001271	-0.010639	0.001231	0.419382	-0.001045	0.002297	-0.056912	-0.011926	-0.004661	0.002414	0.002220	-0.000116	-0.000642	-0.000668	-0.001898	0.000159	-0.009166	-0.001216	-0.009188	-0.006648	-0.034982	-0.003352	0.001823	-0.001743	-0.017894	-0.003036	-0.001644	0.001756	0.000254	-0.003546	0.005684	-0.001917	-0.000653	-0.001574	0.000463	-0.000028	-0.001783
'fs_38'	0.003763	0.001839	0.000406	0.003945	-0.000411	0.014648	-0.002089	0.000719	0.008877	0.004780	-0.000284	-0.001306	0.002632	0.001432	0.002359	-0.000437	0.000057	-0.017386	0.000259	0.001041	-0.013802	0.046648	-0.000060	-0.000009	0.007393	0.002017	0.003744	0.000632	0.001429	0.000493	0.000304	0.004187	-0.009988	0.001218	-0.205689	0.002064	-0.000935	0.018982	-0.004809	0.004062	0.005509	0.001170	-0.002287	0.002377	-0.001114	0.000051	-0.000625	-0.014105	-0.011718	0.007698	0.004611	-0.018187	0.001581	0.003518	-0.001873	0.000408	-0.002195	0.000682	-0.000089	0.003308	-0.002755	0.008451	0.001976	0.001896	-0.002285	0.005610	0.006293	-0.002578
'fs_39'	0.001271	-0.002583	0.000709	-0.010928	0.001465	0.005007	0.000116	-0.002388	-0.000322	-0.008313	-0.000179	0.001299	0.001778	0.000842	0.002411	0.000354	0.000319	-0.009139	-0.001510	0.000732	-0.002763	0.018631	0.000759	0.001884	0.008534	0.001873	0.000727	0.001053	0.000606	-0.002885	-0.001324	0.004351	-0.010773	0.001068	-0.667445	-0.001470	0.002958	-0.064571	0.001293	0.000696	0.006008	-0.000136	0.002969	0.001797	0.000949	0.000578	-0.002622	0.007426	-0.006757	0.007858	-0.012572	0.000257	0.003047	0.002246	-0.003454	0.014244	0.005055	-0.004158	0.001195	0.000312	0.003237	-0.000517	-0.001246	0.000369	0.001685	0.003757	-0.012206	0.001456
'fs_40'	-0.001190	-0.001674	-0.000485	-0.000137	0.000731	0.000160	-0.000209	-0.000242	0.000295	-0.000206	-0.000490	0.000766	-0.014393	-0.003042	-0.000667	0.001650	-0.000060	0.011383	0.001726	-0.001073	-0.011723	0.005462	-0.001421	0.001817	-0.014679	-0.000254	-0.001366	-0.000861	-0.000461	0.003820	0.000191	-0.003365	-0.002453	-0.000184	-0.492163	0.000747	-0.002153	0.050480	-0.005142	0.003256	0.003409	0.000703	0.003357	-0.002951	-0.000345	-0.001195	-0.003128	-0.003841	-0.002504	-0.000620	-0.007922	-0.011301	0.005035	-0.000270	0.001166	-0.002696	-0.001451	0.000045	-0.000508	0.002828	-0.005198	-0.000375	-0.001600	0.000612	-0.001190	-0.002078	0.000513	0.002080
'fs_41'	-0.001984	-0.005040	0.000418	0.008585	0.000088	-0.001670	-0.001486	0.002037	-0.000648	0.002326	0.002468	0.001502	0.005566	0.001425	0.001312	0.000477	0.001850	-0.002377	-0.000963	0.002767	0.013300	-0.015046	0.001548	0.001305	-0.000113	0.000630	-0.002030	0.000331	0.000094	0.002431	0.000536	0.006700	0.015450	-0.001126	0.201105	-0.000472	0.003406	0.037925	0.001844	0.002146	0.006875	0.001201	0.008689	0.000863	-0.000115	0.000866	0.001318	-0.002880	0.006020	0.003987	0.004093	-0.005629	0.008589	0.001011	0.002765	0.023713	-0.002746	0.003590	0.003273	0.001748	0.001353	0.000004	0.000212	0.001749	0.001768	0.001201	0.001169	0.000896
'fs_42'	-0.000969	-0.000168	-0.001928	-0.004392	-0.002164	0.006209	-0.000716	0.003791	0.001250	-0.005833	0.000389	-0.000731	-0.003288	0.000633	0.002767	-0.002224	0.001778	0.010130	-0.001948	-0.000794	0.002543	0.012801	-0.001278	0.000311	0.027426	0.001397	-0.001868	-0.000149	-0.001375	0.003783	-0.000999	-0.006109	-0.006060	0.000227	0.542964	-0.002207	-0.000822	0.018076	0.009745	-0.002025	-0.013165	-0.000590	-0.013694	-0.000058	0.001944	0.001617	0.001864	-0.012367	0.002206	0.000480	0.009118	0.040548	0.001121	-0.001808	-0.000306	-0.000822	-0.004739	-0.002172	-0.004273	0.002868	0.002502	0.000621	0.001755	-0.000796	-0.002125	0.002739	-0.003386	0.003251
'fs_43'	-0.000907	0.007184	0.000287	-0.003432	-0.000472	-0.004332	-0.000196	-0.002520	0.001990	0.000742	-0.000534	0.001383	-0.012196	0.003018	-0.001221	0.001144	0.001125	0.008630	0.001162	0.001309	0.002671	-0.018288	-0.001055	0.001404	0.011081	0.000948	0.000633	0.000517	-0.000460	0.000092	-0.000286	0.000638	0.019351	-0.000518	-0.520845	0.001137	0.001291	0.045408	-0.000213	-0.000281	0.006059	-0.001114	-0.002058	-0.000863	0.002202	0.001254	-0.001427	-0.004288	0.002247	0.000594	-0.007612	0.002729	-0.000139	0.000321	0.000747	0.001595	-0.000800	-0.000571	-0.000129	0.000503	-0.005683	0.000630	0.001434	-0.000702	0.000407	-0.000095	0.000991	0.001474
'fs_44'	-0.001823	-0.005082	-0.000966	-0.001399	-0.001214	-0.009167	-0.001300	-0.003542	0.001020	-0.003883	-0.000860	0.000036	-0.001619	-0.002680	-0.001523	-0.000956	-0.000681	-0.010173	0.002100	-0.000651	-0.011204	-0.030105	-0.000078	-0.000885	-0.013622	-0.000605	-0.002504	-0.001020	-0.001713	-0.004300	-0.001159	-0.004808	-0.001402	-0.003072	0.017316	-0.001592	0.000652	-0.006624	-0.003187	-0.003383	-0.017460	-0.001743	-0.001109	-0.001439	0.000443	-0.002936	-0.000885	0.006793	-0.002447	-0.004491	0.005635	-0.003330	-0.003734	-0.000592	-0.000912	0.001339	0.002233	-0.000172	-0.001733	-0.001916	-0.000321	-0.001470	-0.001800	0.001586	-0.001951	-0.002000	0.009607	-0.001935
'fs_45'	-0.004852	0.005233	-0.002373	-0.000507	-0.001595	0.008151	-0.001847	-0.002918	-0.003577	-0.004518	-0.000636	-0.000363	-0.010696	0.001156	-0.000329	-0.000628	0.001014	-0.005388	0.001693	-0.000954	0.045122	0.009850	-0.000587	-0.000945	-0.004916	0.000531	-0.003362	0.000708	-0.001768	-0.004919	-0.000861	-0.002207	0.015921	-0.001286	0.474620	-0.001055	-0.001438	-0.047929	-0.006698	0.000703	0.001476	-0.001338	-0.005836	-0.002951	-0.001465	0.000338	0.002026	-0.009436	0.002624	-0.011655	0.021092	-0.014601	0.004916	-0.001938	0.004043	0.011764	-0.005662	-0.000948	-0.002938	-0.000429	-0.002805	-0.001131	-0.000854	-0.000091	-0.000982	-0.002939	0.000602	-0.002871
'fs_46'	0.003490	0.004941	0.002588	0.015191	0.001673	0.006508	0.000786	-0.002225	0.007501	-0.003040	0.001002	0.001414	-0.003490	0.002773	-0.000685	0.001653	0.001606	-0.001644	0.001231	0.000519	-0.007763	0.005201	0.001979	0.002932	0.009315	0.002108	-0.000589	0.001297	0.000750	-0.002347	0.001843	0.003929	0.013075	0.000142	-0.028862	0.002545	0.002195	-0.015779	0.001657	-0.002259	0.013230	0.002143	0.005100	0.002602	0.002720	0.001472	0.000693	0.011152	-0.002013	0.009403	0.005250	0.009638	0.003992	0.003538	-0.001281	-0.001947	0.007323	0.005922	0.001345	0.004666	0.004016	0.009089	0.003547	0.002140	0.001570	0.000516	0.008450	0.001563
'fs_47'	0.000327	-0.002023	0.000515	0.009845	0.002779	0.004172	0.004069	0.000706	0.002719	0.000162	0.003114	0.000802	-0.002333	0.000833	0.001707	0.000011	0.002759	0.000367	0.001034	0.001515	-0.000489	0.003043	0.002111	-0.001613	-0.024478	0.000735	0.001178	-0.000260	0.000919	0.002036	0.002011	0.001103	0.001702	-0.002443	-0.343323	-0.000036	-0.001125	-0.001697	0.003338	0.002641	-0.002887	0.002573	-0.001362	0.001016	0.000667	0.000300	-0.000714	0.005431	0.017011	-0.002193	0.000719	-0.005803	0.001020	-0.000802	0.006503	0.008136	-0.001104	0.004672	0.001393	-0.001141	0.002782	0.000741	-0.000519	0.001450	0.001913	0.002638	0.002953	0.001627
'fs_48'	0.000025	0.004555	0.000267	-0.003776	0.000265	-0.000014	0.002500	-0.002721	0.003256	-0.001079	0.000293	-0.001003	0.003023	0.000956	0.001897	0.000836	-0.000099	0.005061	-0.001146	-0.000290	-0.000643	0.003024	0.000718	0.001024	0.008021	0.000477	0.002023	-0.000225	0.000771	0.002968	-0.000701	-0.000401	0.000578	0.000912	-0.016939	0.002520	0.000891	0.022191	0.000929	0.000632	-0.000609	0.000230	-0.000806	0.002803	0.001250	0.000278	-0.001049	-0.007845	-0.004377	0.006962	0.003156	-0.005118	-0.002067	0.000831	0.001097	-0.005885	-0.002274	-0.001654	-0.000528	0.000329	0.003645	0.001843	0.000925	0.001595	0.001749	0.001157	-0.004108	-0.001298
'fs_49'	-0.003817	-0.002915	-0.001136	-0.012500	-0.000087	-0.006328	-0.003490	0.002464	-0.002118	-0.004697	-0.001053	0.000092	-0.009528	0.000423	0.000946	-0.000898	0.000000	0.001052	0.000381	-0.001191	-0.014391	-0.016953	0.000161	0.000154	0.004551	-0.001133	-0.000228	-0.000215	0.000643	-0.003358	-0.002190	0.004415	-0.004835	-0.000437	0.496172	-0.000389	-0.001112	-0.026146	-0.002487	0.000135	0.013022	0.000955	-0.008389	0.000691	0.000131	-0.000322	0.002914	0.008351	0.003019	-0.000064	-0.005451	-0.003274	0.000458	-0.000145	0.000219	-0.000056	0.003402	-0.004873	-0.004182	-0.000637	-0.000958	-0.003549	-0.001024	-0.002264	-0.000886	-0.002241	-0.000908	-0.000209
'fs_50'	-0.001239	-0.002330	-0.000111	0.007361	-0.001467	0.001033	-0.004115	0.002804	-0.001288	-0.013209	-0.001112	0.000451	-0.019391	-0.000894	0.001068	-0.001167	0.002110	-0.004976	0.003031	-0.001857	0.000025	0.001546	-0.001228	-0.002931	-0.015174	-0.000393	-0.001678	-0.000043	-0.000157	0.001821	-0.000901	0.001261	0.009093	0.001079	0.670742	-0.002917	-0.004353	-0.028892	-0.000230	-0.000556	0.015592	-0.000352	-0.003370	0.001180	-0.000208	-0.001800	0.003255	-0.007201	0.000789	-0.004935	-0.011250	0.011913	-0.005799	0.000503	0.000977	-0.007164	-0.005027	0.002775	-0.002375	-0.002814	-0.006805	-0.001316	-0.002321	0.001279	-0.001040	0.000935	0.011649	0.001281
